student_id,name,subject,score,date,attendance,categorize_performance
1246,Christina,Computer Science,78.7,2024-01-11,absent,Medium
1246,Peter,Computer Science,78.7,2022-06-02,Present,Medium
1065,Brian,Computer Science,92.0,2023-02-13,absent,High
1065,Adriana,Computer Science,78.0,2023-10-12,Absent,Medium
1065,Amber,Computer Science,92.0,2024-12-19,Absent,High
1274,Randy,Biology,73.0,2020-10-17,absent,Medium
1187,Scott,Physics,87.0,2021-09-25,Present,High
1187,Lisa,Physics,71.0,2023-07-21,Present,Medium
1158,Edward,Biology,89.0,2023-10-22,Present,High
1158,Corey,Biology,77.9,2023-05-21,Present,Medium
1158,Luis,Biology,98.0,2020-04-26,absent,High
1304,Stephanie,Mathematics,83.0,2020-08-11,Present,Medium
1472,Heather,Computer Science,87.0,2021-08-01,absent,High
1166,Christina,Mathematics,92.0,2021-09-01,Absent,High
1179,Juan,Biology,66.0,2021-09-29,Absent,Medium
1426,Allison,Mathematics,79.1,2023-03-08,Absent,Medium
1354,Lauren,Biology,62.0,2023-07-21,Absent,Medium
1354,Alexandria,Biology,77.9,2021-08-26,Absent,Medium
1186,Haley,Physics,81.0,2022-08-23,Present,Medium
1186,Jacob,Physics,73.0,2023-02-14,Present,Medium
1184,Mary,Computer Science,99.0,2024-01-11,Present,High
1426,Rachel,Computer Science,86.0,2023-03-08,Absent,High
1270,April,Physics,60.0,2020-08-05,Absent,Medium
1440,Thomas,Biology,77.9,2021-05-25,Present,Medium
1440,Heather,Biology,77.0,2022-09-16,Present,Medium
1440,Brittany,Biology,86.0,2023-08-06,Present,High
1122,Krista,Biology,61.0,2023-09-25,Absent,Medium
1202,William,Biology,79.0,2021-02-15,Present,Medium
1438,Roberto,Biology,92.0,2023-05-18,Present,High
1438,Brian,Biology,71.0,2024-12-15,Present,Medium
1441,Krista,Physics,72.0,2024-04-16,absent,Medium
1348,Brittany,Mathematics,68.0,2020-04-02,Present,Medium
1348,Jesse,Mathematics,70.0,2024-09-14,Present,Medium
1112,Felicia,Computer Science,92.0,2020-10-19,absent,High
1112,Stacy,Computer Science,78.7,2023-07-02,Present,Medium
1447,James,Biology,77.9,2021-11-20,absent,Medium
1447,David,Biology,88.0,2024-09-18,absent,High
1447,Larry,Biology,86.0,2023-01-28,absent,High
1073,Jessica,Computer Science,98.0,2021-01-31,Present,High
1073,Jennifer,Computer Science,75.0,2023-03-07,Present,Medium
1290,Rebecca,Biology,72.0,2024-07-16,Absent,Medium
1290,Ruben,Biology,71.0,2024-03-22,Absent,Medium
1404,Anthony,Physics,63.0,2022-05-26,Present,Medium
1404,Sarah,Physics,96.0,2024-09-23,Present,High
1404,Hannah,Physics,77.9,2021-11-19,Present,Medium
1404,Benjamin,Physics,74.0,2021-09-14,Present,Medium
1342,Angel,Physics,90.0,2024-02-13,absent,High
1342,Tara,Physics,76.0,2020-09-17,Present,Medium
1357,Tricia,Mathematics,79.1,2022-08-21,Absent,Medium
1427,Emma,Biology,70.0,2021-03-21,Absent,Medium
1337,Daniel,Biology,94.0,2024-05-23,Absent,High
1337,Earl,Biology,77.9,2024-05-06,Absent,Medium
1071,Nina,Physics,61.0,2020-11-08,Absent,Medium
1071,Joseph,Physics,77.9,2020-08-24,absent,Medium
1270,Elizabeth,Physics,60.0,2020-08-05,Present,Medium
1064,Christie,Computer Science,93.0,2023-01-27,Absent,High
1064,Andrew,Computer Science,78.7,2020-02-27,Absent,Medium
1318,Daniel,Biology,75.0,2023-11-28,Present,Medium
1454,Bridget,Physics,98.0,2022-01-09,Absent,High
1454,Linda,Physics,77.9,2020-05-20,Absent,Medium
1260,Jamie,Physics,88.0,2021-02-20,absent,High
1260,Haley,Physics,77.9,2021-05-05,Absent,Medium
1260,Pam,Physics,100.0,2020-09-07,Absent,High
1192,Nathan,Computer Science,80.0,2020-08-04,absent,Medium
1192,Christopher,Computer Science,62.0,2024-03-24,absent,Medium
1002,Daniel,Physics,67.0,2024-06-25,Present,Medium
1002,Kirk,Physics,74.0,2023-11-30,Present,Medium
1002,Katelyn,Physics,77.9,2021-09-28,Present,Medium
1002,Caitlin,Physics,98.0,2022-02-09,Present,High
1198,Mackenzie,Biology,77.9,2024-06-15,Present,Medium
1194,Greg,Physics,82.0,2021-11-24,absent,Medium
1194,Andrew,Physics,76.0,2020-02-29,Absent,Medium
1194,Brandon,Physics,65.0,2024-11-27,Absent,Medium
1194,Timothy,Physics,72.0,2021-09-26,Absent,Medium
1346,Donna,Mathematics,63.0,2024-12-25,Absent,Medium
1346,Aaron,Mathematics,79.1,2024-05-26,absent,Medium
1346,Juan,Mathematics,90.0,2023-03-04,Absent,High
1444,Christopher,Physics,66.0,2024-01-06,Present,Medium
1444,Jamie,Physics,92.0,2024-02-20,Present,High
1444,Jose,Physics,64.0,2020-12-31,Present,Medium
1419,Daniel,Computer Science,80.0,2023-08-06,Present,Medium
1291,Jesse,Physics,68.0,2023-05-30,Present,Medium
1291,Brian,Physics,80.0,2023-06-02,Present,Medium
1131,Suzanne,Physics,73.0,2023-08-12,Present,Medium
1141,Wesley,Computer Science,78.7,2020-08-27,absent,Medium
1141,Amanda,Computer Science,68.0,2020-06-15,absent,Medium
1141,Kimberly,Computer Science,69.0,2023-12-02,Present,Medium
1315,Hannah,Physics,74.0,2024-01-19,Present,Medium
1290,Sonya,Physics,72.0,2024-07-16,Present,Medium
1290,Monica,Physics,71.0,2024-03-22,Present,Medium
1146,Lori,Physics,69.0,2022-01-18,absent,Medium
1146,Kristy,Physics,77.9,2020-09-14,Absent,Medium
1067,Matthew,Computer Science,89.0,2023-02-11,Absent,High
1067,Michael,Computer Science,66.0,2024-06-04,Absent,Medium
1352,James,Computer Science,78.7,2023-06-16,Present,Medium
1327,Kellie,Computer Science,81.0,2024-09-11,Present,Medium
1398,Jonathan,Biology,72.0,2020-10-08,absent,Medium
1437,Kristopher,Biology,89.0,2023-06-21,Absent,High
1475,Jose,Biology,71.0,2020-02-20,Present,Medium
1207,Zoe,Mathematics,79.0,2023-03-01,absent,Medium
1207,Cole,Mathematics,89.0,2020-09-13,Absent,High
1165,Sarah,Physics,77.9,2022-03-16,Present,Medium
1165,Thomas,Physics,98.0,2024-04-23,absent,High
1165,Mary,Physics,84.0,2024-08-04,Present,Medium
1348,Christina,Biology,68.0,2020-04-02,Present,Medium
1348,Leslie,Biology,70.0,2024-09-14,Present,Medium
1340,Laura,Biology,81.0,2020-06-21,absent,Medium
1440,Jared,Physics,74.0,2021-05-25,absent,Medium
1440,Jose,Physics,86.0,2023-08-06,Absent,High
1469,Matthew,Mathematics,79.1,2024-09-30,Present,Medium
1455,Angela,Mathematics,67.0,2024-06-16,absent,Medium
1323,Janet,Biology,82.0,2021-10-15,absent,Medium
1203,Jessica,Computer Science,100.0,2022-08-03,Absent,High
1203,Patrick,Computer Science,69.0,2023-03-26,Absent,Medium
1032,Sabrina,Physics,77.0,2021-04-29,Absent,Medium
1032,Michelle,Physics,67.0,2024-03-23,Absent,Medium
1052,Vincent,Biology,63.0,2020-12-16,Absent,Medium
1184,Rhonda,Biology,99.0,2024-01-11,Absent,High
1138,Bradley,Computer Science,72.0,2020-12-27,Present,Medium
1138,John,Computer Science,78.7,2023-08-14,absent,Medium
1382,Janice,Computer Science,78.7,2020-04-09,absent,Medium
1087,Lawrence,Physics,81.0,2021-08-22,absent,Medium
1087,Allison,Physics,73.0,2020-12-14,Present,Medium
1479,Antonio,Physics,95.0,2023-09-08,Present,High
1479,Karen,Physics,66.0,2022-10-12,Present,Medium
1270,Derrick,Biology,60.0,2020-08-05,Present,Medium
1066,Jesse,Computer Science,78.7,2022-10-03,Present,Medium
1475,Kristin,Biology,71.0,2020-02-20,Present,Medium
1242,Mitchell,Physics,87.0,2021-07-07,Absent,High
1242,David,Physics,81.0,2023-08-11,absent,Medium
1339,Richard,Computer Science,86.0,2021-02-16,absent,High
1339,Rhonda,Computer Science,66.0,2023-05-18,Present,Medium
1128,James,Biology,98.0,2024-01-04,Present,High
1128,Jessica,Biology,75.0,2021-09-29,Present,Medium
1149,Lindsay,Mathematics,87.0,2024-09-11,Present,High
1001,Kathryn,Mathematics,79.1,2024-12-20,Absent,Medium
1475,Joseph,Physics,71.0,2020-02-20,absent,Medium
1454,Brandon,Physics,98.0,2022-01-09,Absent,High
1454,Carolyn,Physics,96.0,2020-05-20,Absent,High
1037,Stephen,Computer Science,70.0,2021-04-13,Absent,Medium
1037,Tyler,Computer Science,90.0,2020-05-18,Absent,High
1485,Jessica,Computer Science,73.0,2024-02-11,absent,Medium
1485,Denise,Computer Science,92.0,2022-09-10,Present,High
1151,Tammy,Biology,88.0,2020-10-19,absent,High
1151,Dean,Biology,77.9,2024-02-10,Present,Medium
1318,Kelly,Biology,75.0,2023-11-28,Absent,Medium
1299,Brenda,Computer Science,97.0,2021-10-07,absent,High
1401,Zachary,Biology,74.0,2021-09-14,Absent,Medium
1498,Anna,Computer Science,78.7,2022-08-25,Present,Medium
1405,Rachel,Biology,77.9,2023-12-23,Present,Medium
1405,Robert,Biology,75.0,2024-04-03,Present,Medium
1267,Paige,Computer Science,98.0,2020-07-29,Present,High
1267,Mike,Computer Science,80.0,2022-12-06,absent,Medium
1076,Jeremy,Biology,77.9,2021-05-21,Absent,Medium
1076,Michael,Biology,77.9,2023-01-23,Absent,Medium
1067,Robert,Computer Science,89.0,2023-02-11,absent,High
1067,Nicole,Computer Science,66.0,2024-06-04,absent,Medium
1094,Rebecca,Computer Science,78.7,2024-01-14,Present,Medium
1094,James,Computer Science,78.0,2024-01-16,Present,Medium
1094,Michael,Computer Science,67.0,2022-05-27,Present,Medium
1094,Brandi,Computer Science,82.0,2022-10-12,Present,Medium
1080,Lindsey,Mathematics,80.0,2021-06-17,absent,Medium
1080,Paul,Mathematics,79.1,2024-04-28,Absent,Medium
1475,Raymond,Mathematics,79.1,2020-02-20,absent,Medium
1173,James,Computer Science,89.0,2024-10-02,Present,High
1055,Tamara,Physics,79.0,2020-06-21,Absent,Medium
1055,Adam,Physics,77.0,2024-02-18,absent,Medium
1055,Jessica,Physics,66.0,2021-01-18,Absent,Medium
1055,Charles,Physics,71.0,2023-05-18,Absent,Medium
1419,Eduardo,Computer Science,80.0,2023-08-06,Absent,Medium
1106,Paige,Mathematics,69.0,2024-08-02,Absent,Medium
1143,Judy,Biology,79.0,2022-12-20,Absent,Medium
1143,William,Biology,95.0,2021-10-16,absent,High
1143,Mary,Biology,79.0,2023-04-25,Absent,Medium
1143,Dylan,Biology,77.9,2024-03-08,Absent,Medium
1143,Suzanne,Biology,75.0,2021-01-12,Absent,Medium
1444,Tiffany,Biology,66.0,2024-01-06,Absent,Medium
1444,Kayla,Biology,92.0,2024-02-20,Absent,High
1444,Wesley,Biology,64.0,2020-12-31,Absent,Medium
1399,Rachel,Biology,85.0,2023-02-22,Absent,High
1399,Michael,Biology,88.0,2023-05-24,absent,High
1399,Joshua,Biology,94.0,2024-11-23,Absent,High
1081,David,Biology,65.0,2024-02-26,Present,Medium
1402,Diana,Biology,77.9,2023-09-24,Absent,Medium
1402,Donald,Biology,81.0,2020-06-01,Absent,Medium
1191,Teresa,Biology,96.0,2022-03-04,Absent,High
1191,Timothy,Biology,82.0,2023-07-27,absent,Medium
1191,Jennifer,Biology,61.0,2021-05-31,Absent,Medium
1232,Mark,Physics,84.0,2021-01-22,Present,Medium
1232,Billy,Physics,65.0,2022-10-20,Present,Medium
1232,Leslie,Physics,64.0,2024-07-21,Present,Medium
1232,Holly,Physics,69.0,2024-09-06,Present,Medium
1232,Lindsay,Physics,77.9,2024-07-02,Present,Medium
1251,Jerry,Physics,70.0,2023-01-16,Absent,Medium
1251,Derrick,Physics,77.0,2020-11-15,Absent,Medium
1118,Elizabeth,Biology,95.0,2024-01-31,Present,High
1036,Crystal,Mathematics,87.0,2022-04-03,Present,High
1036,Dawn,Mathematics,66.0,2022-01-09,absent,Medium
1036,Jessica,Mathematics,87.0,2021-11-03,Present,High
1032,Christine,Biology,67.0,2024-03-23,Absent,Medium
1210,Todd,Computer Science,78.0,2022-09-04,Present,Medium
1339,Christine,Physics,77.9,2023-05-18,Present,Medium
1327,Joanna,Biology,74.0,2022-09-05,Absent,Medium
1327,Laura,Biology,77.9,2024-09-11,absent,Medium
1158,Frank,Mathematics,89.0,2023-10-22,Absent,High
1158,Misty,Mathematics,61.0,2023-05-21,absent,Medium
1158,Jeffrey,Mathematics,79.1,2020-04-26,Absent,Medium
1483,Jose,Biology,73.0,2024-12-10,Present,Medium
1076,Dominique,Computer Science,84.0,2021-05-21,Present,Medium
1076,Laura,Computer Science,72.0,2023-01-23,Present,Medium
1344,Erica,Computer Science,73.0,2023-11-20,Absent,Medium
1284,Barbara,Physics,62.0,2024-04-22,Absent,Medium
1284,Billy,Physics,90.0,2022-05-21,absent,High
1284,Robert,Physics,77.0,2022-05-30,Absent,Medium
1284,David,Physics,90.0,2023-02-24,Absent,High
1287,Sheila,Biology,89.0,2021-11-03,Absent,High
1287,Matthew,Biology,66.0,2022-03-22,Absent,Medium
1044,Brandon,Biology,69.0,2024-10-21,Present,Medium
1044,Dale,Biology,88.0,2024-09-02,Present,High
1044,Nicholas,Biology,84.0,2024-08-25,Present,Medium
1044,Justin,Biology,81.0,2022-04-10,absent,Medium
1496,Jacob,Physics,77.9,2023-09-21,Absent,Medium
1484,Michael,Computer Science,64.0,2024-07-09,absent,Medium
1192,Megan,Biology,77.9,2020-08-04,Absent,Medium
1192,Jennifer,Biology,62.0,2024-03-24,Absent,Medium
1216,Jacob,Physics,65.0,2023-01-03,Present,Medium
1216,Carlos,Physics,77.9,2023-01-09,Present,Medium
1216,Brittany,Physics,72.0,2024-07-13,Present,Medium
1216,Yesenia,Physics,92.0,2020-12-27,Present,High
1191,Juan,Physics,83.0,2020-07-25,Present,Medium
1191,Michael,Physics,77.9,2023-07-27,Present,Medium
1191,Daniel,Physics,61.0,2021-05-31,Present,Medium
1123,Hannah,Computer Science,90.0,2022-11-06,Present,High
1123,Ruben,Computer Science,60.0,2021-03-29,absent,Medium
1472,Timothy,Physics,77.9,2021-08-01,Absent,Medium
1173,Douglas,Computer Science,89.0,2024-10-02,absent,High
1067,Kyle,Physics,89.0,2023-02-11,Present,High
1067,Tracy,Physics,77.9,2024-06-04,Present,Medium
1182,Nicholas,Physics,67.0,2022-04-01,Absent,Medium
1118,Kyle,Biology,77.9,2023-05-15,Absent,Medium
1179,Benjamin,Computer Science,66.0,2021-09-29,Absent,Medium
1229,Adam,Biology,68.0,2024-08-18,absent,Medium
1100,Rebecca,Computer Science,69.0,2022-01-16,Absent,Medium
1100,Steven,Computer Science,66.0,2020-01-31,Absent,Medium
1171,Paula,Biology,67.0,2021-07-17,absent,Medium
1031,Aaron,Biology,71.0,2020-10-05,absent,Medium
1031,Peter,Biology,66.0,2024-05-18,Present,Medium
1489,Sarah,Biology,76.0,2024-08-12,absent,Medium
1489,Autumn,Biology,77.9,2021-01-02,absent,Medium
1186,Jenna,Biology,81.0,2022-08-23,Absent,Medium
1186,Laura,Biology,73.0,2023-02-14,Absent,Medium
1286,Jennifer,Biology,100.0,2023-07-16,absent,High
1286,William,Biology,94.0,2022-05-19,Absent,High
1286,Julian,Biology,69.0,2022-01-26,absent,Medium
1286,Stacy,Biology,76.0,2024-02-24,Absent,Medium
1138,John,Mathematics,72.0,2020-12-27,Present,Medium
1138,Jasmine,Mathematics,70.0,2023-08-14,Present,Medium
1147,Heather,Physics,82.0,2024-02-03,Absent,Medium
1065,James,Mathematics,92.0,2024-12-19,Absent,High
1183,Jessica,Biology,80.0,2023-11-12,Present,Medium
1183,John,Biology,83.0,2022-06-22,absent,Medium
1072,Melissa,Physics,73.0,2021-01-25,Present,Medium
1072,Nicholas,Physics,61.0,2023-10-24,Present,Medium
1277,Shawn,Computer Science,79.0,2024-01-10,Absent,Medium
1277,Donna,Computer Science,68.0,2024-03-12,Absent,Medium
1228,Jennifer,Computer Science,99.0,2020-04-22,Absent,High
1228,Haley,Computer Science,63.0,2022-11-03,Absent,Medium
1228,Wyatt,Computer Science,65.0,2022-06-08,absent,Medium
1093,Kristen,Biology,94.0,2021-07-11,absent,High
1175,Steven,Biology,77.9,2020-11-17,Present,Medium
1175,Stephanie,Biology,65.0,2021-09-26,Present,Medium
1403,Andrew,Biology,77.9,2021-11-23,absent,Medium
1403,Janet,Biology,75.0,2023-06-14,Present,Medium
1403,Rachel,Biology,63.0,2022-06-01,Present,Medium
1403,Donna,Biology,87.0,2021-07-16,absent,High
1146,Jeffery,Mathematics,61.0,2024-05-12,Absent,Medium
1146,Tracy,Mathematics,69.0,2022-01-18,Absent,Medium
1146,Donald,Mathematics,73.0,2020-09-14,absent,Medium
1037,Melissa,Biology,77.9,2021-04-13,Absent,Medium
1037,Randy,Biology,95.0,2020-02-27,Absent,High
1037,Maria,Biology,77.9,2020-05-18,Absent,Medium
1066,Tammy,Physics,64.0,2022-10-03,Present,Medium
1212,Hannah,Computer Science,75.0,2022-09-15,Present,Medium
1212,Robert,Computer Science,87.0,2024-12-02,Present,High
1177,Rebekah,Physics,83.0,2022-07-13,absent,Medium
1143,Shirley,Physics,79.0,2022-12-20,absent,Medium
1143,Taylor,Physics,77.9,2021-10-16,absent,Medium
1143,Jose,Physics,84.0,2024-03-08,Absent,Medium
